"","gameId","playId","x_motion","x_receiver","x_defender","y_motion","y_receiver","y_defender","nflId_motion","nflId_receiver","nflId_defender","teamAbbr_motion","teamAbbr_receiver","teamAbbr_defender"
"1",2022101000,1475,103.75,103.97,102.01,42.36,16.96,14.11,47839,52440,53509,"KC","KC","LV"
"2",2022101000,2126,50.09,45.22,52.81,38.7,42.33,39.6,40011,52440,53509,"KC","KC","LV"
"3",2022101000,2176,60.06,55.87,63.02,14.81,14.42,16.25,44874,52440,53509,"KC","KC","LV"
"4",2022100913,2226,70.81,81.99,78.76,6.74,4.46,5.82,46155,53560,43299,"BAL","BAL","CIN"
"5",2022100913,2278,76.22,82.98,84.9,13.54,18.49,18.47,52609,52500,43299,"BAL","BAL","CIN"
"6",2022100913,3060,43.84,32.04,30.87,3.12,37.22,34.16,43362,52500,43299,"BAL","BAL","CIN"
"7",2022100912,1193,52.55,31.05,37.59,49.62,35.43,33.23,53486,47853,46088,"LA","LA","DAL"
"8",2022100912,1833,59.15,76.77,78.04,42.71,7.15,9.11,44881,47853,46088,"LA","LA","DAL"
"9",2022100911,82,34.65,26.99,35.37,45.98,36.87,36.76,52630,39983,48516,"ARI","ARI","PHI"
"10",2022100911,385,13.37,12.92,10.5,39.72,11.63,11.58,46118,47834,53565,"PHI","PHI","ARI"
"11",2022100911,612,19.17,33.63,27.45,20.82,28.11,39.2,53478,39983,48516,"ARI","ARI","PHI"
"12",2022100911,1682,53.92,58.07,60.57,8.39,39.59,40.3,52608,47834,53565,"PHI","PHI","ARI"
"13",2022100910,400,87.22,68.79,68.42,19.17,23.03,21.54,40078,47819,46124,"SF","SF","CAR"
"14",2022100910,1439,66.79,68.69,69.39,36.03,42.94,42.28,46377,52433,46124,"SF","SF","CAR"
"15",2022100910,1692,73.78,78.98,85.14,12.81,44.17,44.24,46377,47819,53437,"SF","SF","CAR"
"16",2022100910,2660,17.69,3.05,4.21,30.79,18.65,20.2,44959,47819,53437,"SF","SF","CAR"
"17",2022100908,3635,49.14,42.46,42.72,42.23,39.48,42.93,46992,54473,47882,"ATL","ATL","TB"
"18",2022100908,3680,42.09,31.82,26.67,10.63,18.88,17.91,54616,48374,47877,"ATL","ATL","TB"
"19",2022100907,471,61.45,52.83,51.86,2.62,0.05,-0.6,42718,53435,41243,"MIA","MIA","NYJ"
"20",2022100907,1058,41.57,45.54,46.25,46.87,20.33,26.38,53435,43454,41243,"MIA","MIA","NYJ"
"21",2022100907,1157,86.87,87.29,89.78,4.09,19.1,16.93,46203,53435,41243,"MIA","MIA","NYJ"
"22",2022100907,3689,73.69,66.79,66.65,7.5,23.23,24.29,53435,46111,41243,"MIA","MIA","NYJ"
"23",2022100906,2522,35.63,39.35,41.18,10.86,17.12,23.79,52541,42412,53489,"SEA","SEA","NO"
"24",2022100905,484,20.77,23.71,20.37,45.86,5.64,11.5,43584,47791,47826,"DET","DET","NE"
"25",2022100903,170,25.2,28.88,34.35,10.8,32.78,35.48,46116,44835,42441,"JAX","JAX","HOU"
"26",2022100903,194,32.19,39.43,35.83,13.3,33.66,32.53,46116,44849,41300,"JAX","JAX","HOU"
"27",2022100903,2734,51.51,49.33,45.89,40.97,15.17,13.23,46116,44835,42441,"JAX","JAX","HOU"
"28",2022100902,78,87.41,80.26,78.93,11.92,41.01,42.88,46104,42347,46775,"CLE","CLE","LAC"
"29",2022100902,1656,73.68,76.76,80.37,39.34,13.51,13.81,54564,44841,46086,"CLE","CLE","LAC"
"30",2022100902,1701,108.47,117.62,114.91,7.18,15.87,15.96,54564,42347,46086,"CLE","CLE","LAC"
"31",2022100902,2060,59.24,69.27,74.44,9.88,10.78,10.76,44898,42347,46775,"CLE","CLE","LAC"
"32",2022100902,3106,17.32,15.68,15.22,36.07,14.81,14.16,42347,44841,46086,"CLE","CLE","LAC"
"33",2022100900,2085,65.79,47.1,44.67,28.91,19.79,22.77,54577,47954,47804,"NYG","NYG","GB"
"34",2022100600,536,24.96,23.56,31.07,38.52,26.93,24.24,52423,44987,46304,"DEN","DEN","IND"
"35",2022100600,976,67.1,65.23,59.66,42.47,9.87,8.63,52526,46109,38540,"DEN","DEN","IND"
"36",2022100600,2276,85.06,82.99,77.03,36.43,29.3,24.8,48096,44987,46304,"DEN","DEN","IND"
"37",2022100600,2400,46.86,49.12,54.01,17.43,43.58,43.47,52442,54518,54580,"IND","IND","DEN"
"38",2022100600,2633,70.59,62.87,65.14,26.61,37.4,37.4,52526,46109,38540,"DEN","DEN","IND"
"39",2022100600,3053,88.89,86.48,79.96,11.6,29.77,28.74,52454,44987,46304,"DEN","DEN","IND"
"40",2022100600,3966,101.39,109.41,107.99,44.11,11.23,11.28,52454,52660,38540,"DEN","DEN","IND"
"41",2022100908,309,42.5,47.65,47.43,35.28,34.8,35.97,48723,42899,52453,"ATL","ATL","TB"
"42",2022100908,1233,90.92,63.11,63.65,29.27,32.53,35.6,41808,54038,47882,"ATL","ATL","TB"
"43",2022100902,1121,28.54,17.04,16.57,11.18,36.11,30.72,53506,44819,52505,"LAC","LAC","CLE"
"44",2022100902,1453,63.75,58.39,62.63,23.89,15.37,16.48,48456,52520,47863,"LAC","LAC","CLE"
"45",2022100902,3489,15.61,12.33,12.98,4.9,32.7,36.9,45573,53506,53455,"LAC","LAC","CLE"
